calls	60656
3_self_span	148	src/v1/stage0/src/v1_compiler_emit.rs:1783	dag/std/types.dag
3_self_span	3	src/v1/stage0/src/v1_compiler_emit.rs:1783	dag/std/unicode/types.dag
3_self_span	10	src/v1/stage0/src/v1_compiler_emit.rs:1783	dag/std/witness_admission.dag
3_self_span	447	src/v1/stage0/src/v1_compiler_emit.rs:1783	src/v1/00_core.dag
3_self_span	36	src/v1/stage0/src/v1_compiler_emit.rs:1783	src/v1/01_tokenize.dag
3_self_span	399	src/v1/stage0/src/v1_compiler_emit.rs:1783	src/v1/02_parse.dag
3_self_span	2	src/v1/stage0/src/v1_compiler_emit.rs:1783	src/v1/03_normalize.dag
3_self_span	39	src/v1/stage0/src/v1_compiler_emit.rs:1783	src/v1/03_resolve.dag
3_self_span	4	src/v1/stage0/src/v1_compiler_emit.rs:1783	src/v1/04_access.dag
3_self_span	2	src/v1/stage0/src/v1_compiler_emit.rs:1783	src/v1/04_cycle.dag
3_self_span	41	src/v1/stage0/src/v1_compiler_emit.rs:1783	src/v1/04_emit_info.dag
3_self_span	54	src/v1/stage0/src/v1_compiler_emit.rs:1783	src/v1/04_env.dag
3_self_span	264	src/v1/stage0/src/v1_compiler_emit.rs:1783	src/v1/04_infer.dag
3_self_span	43	src/v1/stage0/src/v1_compiler_emit.rs:1783	src/v1/04_items.dag
3_self_span	22	src/v1/stage0/src/v1_compiler_emit.rs:1783	src/v1/04_lookup.dag
3_self_span	4	src/v1/stage0/src/v1_compiler_emit.rs:1783	src/v1/04_method.dag
3_self_span	13	src/v1/stage0/src/v1_compiler_emit.rs:1783	src/v1/04_patterns.dag
3_self_span	26	src/v1/stage0/src/v1_compiler_emit.rs:1783	src/v1/04_resolve.dag
3_self_span	7	src/v1/stage0/src/v1_compiler_emit.rs:1783	src/v1/04_service.dag
3_self_span	46	src/v1/stage0/src/v1_compiler_emit.rs:1783	src/v1/04_sigs.dag
3_self_span	24	src/v1/stage0/src/v1_compiler_emit.rs:1783	src/v1/04_types.dag
3_self_span	120	src/v1/stage0/src/v1_compiler_emit.rs:1783	src/v1/05_emit.dag
3_self_span	7	src/v1/stage0/src/v1_compiler_emit.rs:1783	src/v1/05_emit_core_support.dag
