imports_removed	file
8	gunbc/ci_heal_credential.dag
7	gunbc/ci_layer_roots.dag
12	gunbc/ci_materialization.dag
2	gunbc/ci_release_bins.dag
7	gunbc/ci_render.dag
17	gunbc/ci_runner_placement.dag
8	gunbc/ci_runner_target.dag
25	gunbc/ci_spec.dag
25	gunbc/ci_workflow.dag
3	gunbc/ci_workflow_expressions.dag
3	gunbc/ci_yaml_emit.dag
2	gunbc/ci_yaml_validate.dag
4	gunbc/citation/pdf_safe_profile.dag
12	gunbc/citation/x86_64_abi_pdf_consumer.dag
3	gunbc/claim_evidence_probe_rule.dag
1	gunbc/claim_executor_hand_rust_boundary.dag
3	gunbc/class_b_import_closure_overlay.dag
10	gunbc/claude_setup_token_enrollment.dag
1	gunbc/cli_invoke.dag
2	gunbc/cli_run_hand_rust_area_ledger.dag
5	gunbc/cli_run_repo_grant.dag
2	gunbc/cli_run_repo_grant_scaffold.dag
2	gunbc/cli_run_witness_admission_scaffold.dag
3	gunbc/cli_run_witness_deferral_freeze_scaffold.dag
2	gunbc/cli_services.dag
2	gunbc/clock_read.dag
12	gunbc/codex_app_server_press.dag
3	gunbc/codex_runtime_bundle.dag
9	gunbc/command_runner.dag
17	gunbc/commit_workflow.dag
2	gunbc/compile_clean_diagnostic_policy.dag
3	gunbc/compile_diagnostic_census.dag
8	gunbc/compile_pool_ensure.dag
3	gunbc/cursor_sdk_auth_probe.dag
6	gunbc/cursor_sdk_local_binding.dag
5	gunbc/cursor_sdk_provider_standing.dag
2	gunbc/cursor_sdk_secret_admission.dag
6	gunbc/cursor_sdk_secure_api_key.dag
3	gunbc/declared_import_closure_binding.dag
6	gunbc/deployed_intent_v1.dag
3	gunbc/design/archetype.dag
5	gunbc/design/catalog.dag
3	gunbc/design/component.dag
6	gunbc/design/instrument_audition.dag
5	gunbc/design/instrument_bob.dag
3	gunbc/design/instrument_camera.dag
5	gunbc/design/instrument_physical.dag
5	gunbc/design/instrument_projection.dag
3	gunbc/design/interaction.dag
1	gunbc/design/interaction_cause.dag
8	gunbc/design/material.dag
5	gunbc/design/palette.dag
1	gunbc/design/principles.dag
3	gunbc/design/reference_instrument.dag
3	gunbc/design/salience.dag
3	gunbc/design/scale.dag
3	gunbc/design/sound.dag
3	gunbc/design/state_response.dag
3	gunbc/design/theme.dag
5	gunbc/design/theme_transition.dag
3	gunbc/design_document.dag
10	gunbc/dgx_spark_procurement.dag
6	gunbc/dgx_spark_pxe_boot.dag
7	gunbc/diff_baseline.dag
6	gunbc/dispatch_pipe_pane_emit.dag
11	gunbc/dispatch_selection.dag
9	gunbc/doc_graph_roots.dag
4	gunbc/econ/acquisition.dag
5	gunbc/econ/free_tier_serving.dag
5	gunbc/econ/knowable_wedge.dag
4	gunbc/econ/llm_attempt_receipt.dag
3	gunbc/econ/margin_envelope.dag
3	gunbc/econ/regional_compute_premium.dag
4	gunbc/econ/scm_serving_model.dag
3	gunbc/ensure.dag
4	gunbc/explicit_witness_admission.dag
4	gunbc/falsifier_alert_admission.dag
9	gunbc/falsifier_alert_decision.dag
2	gunbc/falsifier_alert_residue.dag
4	gunbc/falsifier_alert_state.dag
2	gunbc/falsifier_cold_corpus_execution.dag
6	gunbc/falsifier_lane.dag
7	gunbc/falsifier_run_control.dag
19	gunbc/falsifier_workflow.dag
13	gunbc/fleet_bmc_observation.dag
11	gunbc/fleet_bmc_state.dag
9	gunbc/fleet_container.dag
7	gunbc/fleet_converge_apply.dag
