index,x_mm,y_mm,pad_dia_mm
491,25.7495,31.6534,0.46
492,26.7810,31.6534,0.46
493,27.7768,31.6534,0.46
494,28.7726,31.6534,0.46
495,29.7685,31.6534,0.46
496,30.7643,31.6534,0.46
497,-31.7246,30.7643,0.46
498,-30.7643,30.7643,0.46
499,-29.7329,30.7643,0.46
500,-28.7371,30.7643,0.46
501,-27.7412,30.7643,0.46
502,-26.7454,30.7643,0.46
503,-25.7495,30.7643,0.46
504,-24.7181,30.7643,0.46
505,-23.7579,30.7643,0.46
506,-22.7265,30.7643,0.46
507,-21.7306,30.7643,0.46
508,-20.7348,30.7643,0.46
509,-19.7389,30.7643,0.46
510,-18.7431,30.7643,0.46
511,-17.7473,30.7643,0.46
512,-16.7159,30.7643,0.46
513,-15.7200,30.7643,0.46
514,-14.7598,30.7643,0.46
515,-13.7283,30.7643,0.46
516,-12.7325,30.7643,0.46
517,-11.7367,30.7643,0.46
518,-10.7408,30.7643,0.46
519,-9.7450,30.7643,0.46
520,-8.7136,30.7643,0.46
521,-7.7533,30.7643,0.46
522,-6.7219,30.7643,0.46
523,-5.7261,30.7643,0.46
524,-4.7302,30.7643,0.46
525,-3.7344,30.7643,0.46
526,-2.7386,30.7643,0.46
527,-1.7427,30.7643,0.46
528,-0.7469,30.7643,0.46
529,0.2845,30.7643,0.46
530,1.2448,30.7643,0.46
531,2.2762,30.7643,0.46
532,3.2720,30.7643,0.46
533,4.2679,30.7643,0.46
534,5.2637,30.7643,0.46
535,6.2596,30.7643,0.46
536,7.2910,30.7643,0.46
537,8.2512,30.7643,0.46
538,9.2471,30.7643,0.46
539,10.2785,30.7643,0.46
540,11.2743,30.7643,0.46
541,12.2702,30.7643,0.46
542,13.2660,30.7643,0.46
543,14.2618,30.7643,0.46
544,15.2577,30.7643,0.46
545,16.2535,30.7643,0.46
546,17.2494,30.7643,0.46
547,18.2808,30.7643,0.46
548,19.2766,30.7643,0.46
549,20.2369,30.7643,0.46
550,21.2683,30.7643,0.46
551,22.2641,30.7643,0.46
552,23.2599,30.7643,0.46
553,24.2558,30.7643,0.46
554,25.2516,30.7643,0.46
555,26.2830,30.7643,0.46
556,27.2789,30.7643,0.46
557,28.2747,30.7643,0.46
558,29.2705,30.7643,0.46
559,30.2664,30.7643,0.46
560,31.2622,30.7643,0.46
561,-31.2267,29.9107,0.46
562,-30.2308,29.9107,0.46
563,-29.2350,29.9107,0.46
564,-28.2391,29.9107,0.46
565,-27.2433,29.9107,0.46
566,-26.2119,29.9107,0.46
567,-25.2516,29.9107,0.46
568,-24.2558,29.9107,0.46
569,-23.2244,29.9107,0.46
570,-22.2285,29.9107,0.46
571,-21.2327,29.9107,0.46
572,-20.2369,29.9107,0.46
573,-19.2410,29.9107,0.46
574,-18.2452,29.9107,0.46
575,-17.2138,29.9107,0.46
576,-16.2535,29.9107,0.46
577,-15.2221,29.9107,0.46
578,-14.2263,29.9107,0.46
579,-13.2304,29.9107,0.46
580,-12.2346,29.9107,0.46
581,-11.2388,29.9107,0.46
582,-10.2073,29.9107,0.46
583,-9.2471,29.9107,0.46
584,-8.2512,29.9107,0.46
585,-7.2198,29.9107,0.46
586,-6.2240,29.9107,0.46
587,-5.2282,29.9107,0.46
588,-4.2323,29.9107,0.46
589,-3.2365,29.9107,0.46
590,-2.2406,29.9107,0.46
591,-1.2448,29.9107,0.46
592,0.7824,29.9107,0.46
593,1.7783,29.9107,0.46
594,2.7386,29.9107,0.46
595,3.7700,29.9107,0.46
596,4.7658,29.9107,0.46
597,5.7616,29.9107,0.46
598,6.7575,29.9107,0.46
599,7.7533,29.9107,0.46
600,8.7847,29.9107,0.46
601,9.7450,29.9107,0.46
602,10.7764,29.9107,0.46
603,11.7722,29.9107,0.46
604,12.7681,29.9107,0.46
605,13.7639,29.9107,0.46
606,14.7598,29.9107,0.46
607,15.7556,29.9107,0.46
608,16.7514,29.9107,0.46
609,17.7828,29.9107,0.46
610,18.7431,29.9107,0.46
611,19.7745,29.9107,0.46
612,20.7704,29.9107,0.46
613,21.7662,29.9107,0.46
614,22.7620,29.9107,0.46
615,23.7579,29.9107,0.46
616,24.7893,29.9107,0.46
617,25.7495,29.9107,0.46
618,26.7810,29.9107,0.46
619,27.7768,29.9107,0.46
620,28.7726,29.9107,0.46
621,29.7685,29.9107,0.46
622,30.7643,29.9107,0.46
623,-31.7246,29.0572,0.46
624,-30.7643,29.0572,0.46
625,-29.7329,29.0572,0.46
626,-28.7371,29.0572,0.46
627,-27.7412,29.0572,0.46
628,-26.7454,29.0572,0.46
629,-25.7495,29.0572,0.46
630,-24.7181,29.0572,0.46
631,-23.7579,29.0572,0.46
632,-22.7265,29.0572,0.46
633,-21.7306,29.0572,0.46
634,-20.7348,29.0572,0.46
635,-19.7389,29.0572,0.46
636,-18.7431,29.0572,0.46
637,-17.7473,29.0572,0.46
638,-16.7159,29.0572,0.46
639,-15.7200,29.0572,0.46
640,-14.7598,29.0572,0.46
641,-13.7283,29.0572,0.46
642,-12.7325,29.0572,0.46
643,-11.7367,29.0572,0.46
644,-10.7408,29.0572,0.46
645,-9.7450,29.0572,0.46
646,-8.7136,29.0572,0.46
647,-7.7533,29.0572,0.46
648,-6.7219,29.0572,0.46
649,-5.7261,29.0572,0.46
650,-4.7302,29.0572,0.46
651,-3.7344,29.0572,0.46
652,-2.7386,29.0572,0.46
653,-1.7427,29.0572,0.46
654,-0.7469,29.0572,0.46
655,0.2845,29.0572,0.46
656,1.2448,29.0572,0.46
657,2.2762,29.0572,0.46
658,3.2720,29.0572,0.46
659,4.2679,29.0572,0.46
660,5.2637,29.0572,0.46
661,6.2596,29.0572,0.46
662,7.2910,29.0572,0.46
663,8.2512,29.0572,0.46
664,9.2471,29.0572,0.46
665,10.2785,29.0572,0.46
666,11.2743,29.0572,0.46
667,12.2702,29.0572,0.46
668,13.2660,29.0572,0.46
669,14.2618,29.0572,0.46
670,15.2577,29.0572,0.46
671,16.2535,29.0572,0.46
672,17.2494,29.0572,0.46
673,18.2808,29.0572,0.46
674,19.2766,29.0572,0.46
675,20.2369,29.0572,0.46
676,21.2683,29.0572,0.46
677,22.2641,29.0572,0.46
