file	line	col	expected	found	delta	root	reason	carrier_flags	callee	callee_kind	block_msg
src/v2_extdeps_languages_dag.rs	3100	56	Option<Rc<_>>	Rc<_>	rc_depth+nominal+optionality	R2	optional_surface_fork		src/v2_extdeps_languages_dag.rs:2964:8	function defined here	mismatched types
src/v2_extdeps_languages_dag.rs	3145	56	Option<Rc<TargetEmitHostRuntimeRow>>	Rc<TargetEmitHostRuntimeRow>	rc_depth+nominal+optionality	R2	optional_surface_fork		src/v2_extdeps_languages_dag.rs:2964:8	function defined here	mismatched types
src/v2_extdeps_languages_dag.rs	3145	56	Option<Rc<_>>	Rc<_>	rc_depth+nominal+optionality	R2	optional_surface_fork		src/v2_extdeps_languages_dag.rs:2964:8	function defined here	mismatched types
src/v2_lens_cost.rs	312	123	Rc<Nat>	Nat	rc_depth	R1	rc_wrap_only				mismatched types
src/v2_lens_cost.rs	315	123	Rc<Nat>	Nat	rc_depth	R1	rc_wrap_only				mismatched types
src/v2_compiler_parse.rs	414	27	Option<Rc<ParseMemoEntry>>	Rc<ParseMemoEntry>	rc_depth+nominal+optionality	R2	optional_surface_fork		src/v2_std_witness.rs:26:8	function defined here	mismatched types
src/v2_compiler_parse.rs	414	27	Option<Rc<_>>	Rc<_>	rc_depth+nominal+optionality	R2	optional_surface_fork		src/v2_std_witness.rs:26:8	function defined here	mismatched types
src/v2_compiler_parse.rs	571	27	OrdSet<String>	Rc<PointwisePower<_>>	rc_depth+nominal+container	T3	collection_carrier_fork		/rustc/88d9e12ae178fab0fb5cc050a94da85685d449ea/library/alloc/src/rc.rs:419:11	associated function defined here	mismatched types
src/v2_compiler_parse.rs	1033	13	OrdSet<String>	Rc<PointwisePower<_>>	rc_depth+nominal+container	T3	collection_carrier_fork		/rustc/88d9e12ae178fab0fb5cc050a94da85685d449ea/library/alloc/src/rc.rs:419:11	associated function defined here	mismatched types
src/v2_compiler_parse.rs	1095	53	OrdSet<String>	Rc<PointwisePower<_>>	rc_depth+nominal+container	T3	collection_carrier_fork		/rustc/88d9e12ae178fab0fb5cc050a94da85685d449ea/library/alloc/src/rc.rs:419:11	associated function defined here	mismatched types
src/v2_extdeps_runtimes_v2_evaluator.rs	160	13	HashMap<Rc<EnvironmentBindingKey>, Rc<RuntimeValue>>	Rc<PartialFunction<_, _>>	rc_depth+nominal+container	T3	collection_carrier_fork		/rustc/88d9e12ae178fab0fb5cc050a94da85685d449ea/library/alloc/src/rc.rs:419:11	associated function defined here	mismatched types
src/v2_extdeps_runtimes_v2_evaluator.rs	332	5	Rc<Edge>	Edge	rc_depth	R1	rc_wrap_only				mismatched types
src/v2_lens_machine_shape.rs	190	5	Rc<MachineShapeWalkResult>	MachineShapeWalkResult	rc_depth	R1	rc_wrap_only				mismatched types
src/v2_compiler_body_lowering_fold.rs	3176	13	Rc<Outcome<Option<Rc<Node>>>>	Rc<Outcome<Rc<Node>>>	generic_arg+optionality	R2	optional_surface_fork				`match` arms have incompatible types
src/v2_compiler_body_lowering_fold.rs	3176	13	Rc<Outcome<Option<Rc<_>>>>	Rc<Outcome<Rc<_>>>	generic_arg+optionality	R2	optional_surface_fork				`match` arms have incompatible types
src/v2_compiler_resolve.rs	145	13	OrdSet<String>	Rc<PointwisePower<_>>	rc_depth+nominal+container	T3	collection_carrier_fork		/rustc/88d9e12ae178fab0fb5cc050a94da85685d449ea/library/alloc/src/rc.rs:419:11	associated function defined here	mismatched types
src/v2_compiler_infer.rs	164	20	HashMap<Rc<Node>, Rc<InferredFacts>>	Rc<PartialFunction<_, _>>	rc_depth+nominal+container	T3	collection_carrier_fork		/rustc/88d9e12ae178fab0fb5cc050a94da85685d449ea/library/alloc/src/rc.rs:419:11	associated function defined here	mismatched types
src/v2_compiler_infer.rs	378	63	Witness<Rc<TerminationProof>>	Witness<TerminationProof>	generic_arg	R1	rc_wrap_at_type_argument_depth		/rustc/88d9e12ae178fab0fb5cc050a94da85685d449ea/library/alloc/src/rc.rs:419:11	associated function defined here	mismatched types
src/v2_compiler_infer.rs	513	20	HashMap<Rc<Node>, Rc<InferredFacts>>	Rc<PartialFunction<_, _>>	rc_depth+nominal+container	T3	collection_carrier_fork		/rustc/88d9e12ae178fab0fb5cc050a94da85685d449ea/library/alloc/src/rc.rs:419:11	associated function defined here	mismatched types
src/v2_compiler_infer.rs	522	27	Option<Rc<InferredFacts>>	Rc<InferredFacts>	rc_depth+nominal+optionality	R2	optional_surface_fork		src/v2_std_witness.rs:26:8	function defined here	mismatched types
src/v2_compiler_infer.rs	522	27	Option<Rc<_>>	Rc<_>	rc_depth+nominal+optionality	R2	optional_surface_fork		src/v2_std_witness.rs:26:8	function defined here	mismatched types
src/v2_compiler_name_resolve.rs	493	5	Rc<AdmitExportsFold>	AdmitExportsFold	rc_depth	R1	rc_wrap_only				mismatched types
src/v2_compiler_eval.rs	642	13	HashMap<Rc<EnvironmentBindingKey>, Rc<RuntimeValue>>	Rc<PartialFunction<_, _>>	rc_depth+nominal+container	T3	collection_carrier_fork		/rustc/88d9e12ae178fab0fb5cc050a94da85685d449ea/library/alloc/src/rc.rs:419:11	associated function defined here	mismatched types
src/v2_compiler_eval.rs	662	27	Option<Rc<InferredFacts>>	Rc<InferredFacts>	rc_depth+nominal+optionality	R2	optional_surface_fork		src/v2_std_witness.rs:26:8	function defined here	mismatched types
src/v2_compiler_eval.rs	662	27	Option<Rc<_>>	Rc<_>	rc_depth+nominal+optionality	R2	optional_surface_fork		src/v2_std_witness.rs:26:8	function defined here	mismatched types
src/v2_compiler_eval.rs	734	56	Witness<Rc<Node>>	Witness<Rc<RuntimeValueAcceptanceWitness>>	generic_arg	W	witness_type_argument		/rustc/88d9e12ae178fab0fb5cc050a94da85685d449ea/library/alloc/src/rc.rs:419:11	associated function defined here	mismatched types
src/v2_compiler_eval.rs	742	17	Witness<Rc<Node>>	Witness<Rc<RuntimeValueAcceptanceWitness>>	generic_arg	W	witness_type_argument		/rustc/88d9e12ae178fab0fb5cc050a94da85685d449ea/library/alloc/src/rc.rs:419:11	associated function defined here	mismatched types
src/v2_compiler_eval.rs	752	17	Witness<Rc<InferredFacts>>	Witness<Rc<RuntimeValueAcceptanceWitness>>	generic_arg	W	witness_type_argument		/rustc/88d9e12ae178fab0fb5cc050a94da85685d449ea/library/alloc/src/rc.rs:419:11	associated function defined here	mismatched types
