root	module	authority_symbol	normalized_relation
RESIDUE	std.state_durability	state_durability_boundaries_evidence_verdict	Rc<StateDurabilityEvidence<Target, ReadbackSubject>> -> Rc<Vector<Rc<StateDurabilityEvidence<Target, ReadbackSubject>>>>
RESIDUE	v2.compiler.source_authority	normalized_source_ast_equal_witness	Rc<Node> -> Rc<NormalizedTree>
RESIDUE	v2.lens.determinism	determinism_axis_for_node	Rc<Determinism> -> Rc<Edge>
RESIDUE	v2.std.cardinality	termination_proof_witness_for_node	Rc<Witness<Rc<TerminationProof>>> -> Rc<Edge>
RESIDUE	v2.std.compilers.target_model	source_atom_char_projection_from_node	i64 -> String
RESIDUE	v2.std.compilers.target_model	target_use_site_ownership_catalog_lookup_step_for_row	TargetUseSiteOwnershipLookup -> TargetUseSiteOwnershipCatalogLookup
RESIDUE	v2.std.compilers.target_model	target_value_expression_char_unicode_scalar	String -> i64
T3	v2.compiler.eval	empty_runtime_bindings	HashMap<Rc<EnvironmentBindingKey>, Rc<RuntimeValue>> -> Rc<PartialFunction<_, _>>
T3	v2.compiler.infer	facts_map_from_entries	HashMap<Rc<Node>, Rc<InferredFacts>> -> Rc<PartialFunction<_, _>>
T3	v2.compiler.infer	infer_emit_shape_frontier_inferred_tree	HashMap<Rc<Node>, Rc<InferredFacts>> -> Rc<PartialFunction<_, _>>
T3	v2.compiler.parse	compute_nullable_set	OrdSet<String> -> Rc<PointwisePower<_>>
T3	v2.compiler.parse	parse_table_empty	OrdSet<String> -> Rc<PointwisePower<_>>
T3	v2.compiler.parse	set_symbol_insert	OrdSet<String> -> Rc<PointwisePower<_>>
T3	v2.compiler.resolve	empty_canonical_symbol_set	OrdSet<String> -> Rc<PointwisePower<_>>
T3	v2.extdeps.languages.llvm_ir	llvm_float_spec_facts	HashMap<String, Rc<Node>> -> Rc<PartialFunction<_, _>>
T3	v2.extdeps.languages.llvm_ir	llvm_integer_spec_facts	HashMap<String, Rc<Node>> -> Rc<PartialFunction<_, _>>
T3	v2.extdeps.runtimes.v2_effect_io_pure	effect_io_pure_empty_environment	HashMap<Rc<EnvironmentBindingKey>, Rc<RuntimeValue>> -> Rc<PartialFunction<_, _>>
T3	v2.extdeps.runtimes.v2_evaluator	v2_eval_empty_bindings	HashMap<Rc<EnvironmentBindingKey>, Rc<RuntimeValue>> -> Rc<PartialFunction<_, _>>
T3	v2.std.collection	map_insert	HashMap<K, V> -> Rc<PartialFunction<_, _>>
T3	v2.std.language_model	language_model_empty_canonical_symbols	OrdSet<String> -> Rc<PointwisePower<_>>
T3	v2.std.model_core	model_core_bool_spec_facts	HashMap<String, Rc<Node>> -> Rc<PartialFunction<_, _>>
W	v2.compiler.compile	apply_compile_lens_introspect	Witness<Rc<Node>> -> Witness<Rc<Outcome<Rc<Witness<Rc<Node>>>>>>
W	v2.compiler.eval	eval_runtime_value_acceptance_witness	Witness<Rc<InferredFacts>> -> Witness<Rc<RuntimeValueAcceptanceWitness>>
W	v2.compiler.eval	eval_runtime_value_acceptance_witness	Witness<Rc<Node>> -> Witness<Rc<RuntimeValueAcceptanceWitness>>
