  e8 | 09/03/2026 | 04:15:50 PM UTC | Voltage #0xc0 | Upper Non-critical going high | Asserted
  e9 | 09/03/2026 | 04:15:51 PM UTC | Voltage #0xc0 | Upper Critical going high | Asserted
  ea | 09/03/2026 | 04:15:52 PM UTC | Voltage #0xc0 | Upper Critical going high | Deasserted
  eb | 09/03/2026 | 04:15:52 PM UTC | Voltage #0xc0 | Upper Non-critical going high | Deasserted
  ec | 09/04/2026 | 02:27:23 PM UTC | Power Unit #0xe0 | AC lost | Asserted
  ed | 09/04/2026 | 02:27:24 PM UTC | System Boot Initiated #0xd5 | Initiated by power up | Asserted
  ee | 09/04/2026 | 02:27:34 PM UTC | Fan #0x0f | Device Present | Asserted
  ef | 09/04/2026 | 02:27:34 PM UTC | Fan #0x10 | Device Present | Asserted
  f0 | 09/04/2026 | 02:27:34 PM UTC | Fan #0x11 | Device Present | Asserted
  f1 | 09/04/2026 | 02:27:34 PM UTC | Fan #0x12 | Device Present | Asserted
  f2 | 09/04/2026 | 02:27:34 PM UTC | Fan #0x13 | Device Present | Asserted
  f3 | 09/04/2026 | 02:27:34 PM UTC | Fan #0x14 | Device Present | Asserted
  f4 | 09/04/2026 | 02:27:34 PM UTC | Fan #0x15 | Device Present | Asserted
  f5 | 09/04/2026 | 02:27:34 PM UTC | Fan #0x16 | Device Present | Asserted
  f6 | 09/04/2026 | 02:27:53 PM UTC | System ACPI Power State #0x4d | S0/G0: working | Asserted
  f7 | 09/04/2026 | 02:27:58 PM UTC | System ACPI Power State #0x5e | S0/G0: working | Asserted
  f8 | 09/04/2026 | 02:28:03 PM UTC | Power Supply #0xea | Presence detected | Asserted
  f9 | 09/04/2026 | 02:28:03 PM UTC | Power Supply #0xeb | Presence detected | Asserted
  fa | 09/04/2026 | 02:28:03 PM UTC | Power Supply #0xeb | Power Supply AC lost | Asserted
  fb | 09/04/2026 | 02:35:24 PM UTC | Session Audit #0xe5 |  | Asserted
  fc | 09/04/2026 | 02:35:42 PM UTC | Session Audit #0xe5 |  | Asserted
  fd | 09/04/2026 | 02:36:00 PM UTC | Session Audit #0xe5 |  | Asserted
  fe | 09/04/2026 | 02:36:30 PM UTC | Session Audit #0xe5 |  | Asserted
  ff | 09/04/2026 | 02:37:01 PM UTC | Session Audit #0xe5 |  | Asserted
 100 | 09/04/2026 | 02:37:37 PM UTC | Session Audit #0xe5 |  | Asserted
 101 | 09/04/2026 | 02:37:55 PM UTC | Session Audit #0xe5 |  | Asserted
 102 | 09/04/2026 | 02:39:10 PM UTC | Session Audit #0xe5 |  | Asserted
 103 | 09/04/2026 | 03:32:19 PM UTC | OEM record c0 | 00cd3a | caef7107ffff
 104 | 09/04/2026 | 03:32:19 PM UTC | OEM record c0 | 00cd3a | caeff107ffff
 105 | 09/04/2026 | 03:50:45 PM UTC | OEM record c0 | 00cd3a | caef7107ffff
 106 | 09/04/2026 | 03:50:45 PM UTC | OEM record c0 | 00cd3a | caeff107ffff
 107 | 09/05/2026 | 03:00:55 AM UTC | Power Unit #0xe0 | AC lost | Asserted
 108 | 09/05/2026 | 03:00:56 AM UTC | System Boot Initiated #0xd5 | Initiated by power up | Asserted
 109 | 09/05/2026 | 03:01:05 AM UTC | Fan #0x0f | Device Present | Asserted
 10a | 09/05/2026 | 03:01:05 AM UTC | Fan #0x10 | Device Present | Asserted
 10b | 09/05/2026 | 03:01:05 AM UTC | Fan #0x11 | Device Present | Asserted
 10c | 09/05/2026 | 03:01:05 AM UTC | Fan #0x12 | Device Present | Asserted
 10d | 09/05/2026 | 03:01:05 AM UTC | Fan #0x13 | Device Present | Asserted
 10e | 09/05/2026 | 03:01:05 AM UTC | Fan #0x14 | Device Present | Asserted
 10f | 09/05/2026 | 03:01:05 AM UTC | Fan #0x15 | Device Present | Asserted
 110 | 09/05/2026 | 03:01:05 AM UTC | Fan #0x16 | Device Present | Asserted
 111 | 09/05/2026 | 03:01:24 AM UTC | System ACPI Power State #0x4d | S0/G0: working | Asserted
 112 | 09/05/2026 | 03:01:29 AM UTC | System ACPI Power State #0x5e | S0/G0: working | Asserted
 113 | 09/05/2026 | 03:01:35 AM UTC | Power Supply #0xea | Presence detected | Asserted
 114 | 09/05/2026 | 03:01:35 AM UTC | Power Supply #0xeb | Presence detected | Asserted
 115 | 09/05/2026 | 03:01:35 AM UTC | Power Supply #0xeb | Power Supply AC lost | Asserted
 116 | 09/05/2026 | 03:23:14 AM UTC | Power Unit #0xe0 | Soft-power control failure | Asserted
 117 | 09/05/2026 | 03:23:22 AM UTC | Power Unit #0xe0 | Power off/down | Asserted
 118 | 09/05/2026 | 03:23:23 AM UTC | System Boot Initiated #0xd5 | Initiated by power up | Asserted
 119 | 09/05/2026 | 03:23:23 AM UTC | Power Unit #0xe0 | Power cycle | Asserted
 11a | 09/05/2026 | 03:24:45 AM UTC | Power Unit #0xe0 | Soft-power control failure | Asserted
 11b | 09/05/2026 | 03:24:52 AM UTC | Power Unit #0xe0 | Power off/down | Asserted
 11c | 09/05/2026 | 03:24:53 AM UTC | System Boot Initiated #0xd5 | Initiated by power up | Asserted
 11d | 09/05/2026 | 03:24:53 AM UTC | Power Unit #0xe0 | Power cycle | Asserted
 11e | 09/05/2026 | 03:25:09 AM UTC | Session Audit #0xe5 |  | Asserted
 11f | 09/05/2026 | 03:25:10 AM UTC | Session Audit #0xe5 |  | Asserted
 120 | 09/05/2026 | 03:25:15 AM UTC | Session Audit #0xe5 |  | Asserted
 121 | 09/05/2026 | 03:27:01 AM UTC | Session Audit #0xe5 |  | Asserted
 122 | 09/05/2026 | 07:05:32 AM UTC | OEM record c0 | 00cd3a | caee7107ffff
