tag	file	name	candidate_modules
compile	dag/gunbc/file_access.dag	Drifted	gunbc.host_converge,gunbc.roadmap_status
compile	dag/gunbc/fleet_converge_cli.dag	Terminal	std.disposition,v2.std.grammar
compile	dag/gunbc/fleet_converge_emit.dag	Rejected	std.markup,v2.std.diagnostic,v2.test.manual.forensics_6280_synth_owner_a,v2.test.manual.forensics_6280_synth_owner_b,v2.test.manual.forensics_6280_synth_owner_c
compile	dag/gunbc/fleet_converge_emit.dag	If	extdeps.languages.bash.program,extdeps.languages.typescript.program,v2.std.orchestration
compile	dag/gunbc/fleet_host_budget.dag	CreateEffect	std.effects,v2.std.effects
compile	dag/gunbc/fleet_host_budget.dag	CreateIfAbsent	std.effects,std.temporal_effect,v2.std.effects
compile	dag/gunbc/fleet_intent.dag	Persistent	extdeps.storage.types,v2.std.value_carrier
compile	dag/gunbc/fleet_intent.dag	Linux	extdeps.toolchain.types,std.os.types
compile	dag/gunbc/fleet_posix_accounts.dag	Terminal	std.disposition,v2.std.grammar
compile	dag/gunbc/fleet_show_effective_read.dag	Drifted	gunbc.host_converge,gunbc.roadmap_status
compile	dag/gunbc/fleet_show_effective_read.dag	Terminal	std.disposition,v2.std.grammar
compile	dag/gunbc/floor_materialization.dag	Frame	std.materialization_ladder,std.render
compile	dag/gunbc/generated_artifact_emit.dag	DesignArtifact	gunbc.generated_artifact,gunbc.workflow.types
compile	dag/gunbc/gha_yaml_fold_pilot.dag	Job	extdeps.github.actions,extdeps.github.expressions
compile	dag/gunbc/gunbhub_serve.dag	GET	std.types,v2.std.network
compile	dag/gunbc/hand_lens_host_bridge_scaffold_watchdog.dag	Terminal	std.disposition,v2.std.grammar
compile	dag/gunbc/host_effect.dag	AppendEffect	std.effects,v2.std.effects
compile	dag/gunbc/host_effect.dag	IdentityEffect	std.algebra,std.effects
compile	dag/gunbc/host_effect.dag	EffectShape	std.effects,v2.std.effects
compile	dag/gunbc/host_effect.dag	Terminal	std.disposition,v2.std.grammar
compile	dag/gunbc/host_effect.dag	ReadEffect	std.effects,v2.std.effects
compile	dag/gunbc/host_effect_realize.dag	Deny	extdeps.access.aws_iam,std.access
compile	dag/gunbc/host_identity_adopt.dag	Terminal	std.disposition,v2.std.grammar
compile	dag/gunbc/host_identity_adopt.dag	ExitSuccess	extdeps.transports.shell,std.process
compile	dag/gunbc/host_identity_assimilation.dag	ExitSuccess	extdeps.transports.shell,std.process
compile	dag/gunbc/host_identity_assimilation.dag	Terminal	std.disposition,v2.std.grammar
compile	dag/gunbc/host_identity_converge.dag	KeySource	std.effects,v2.std.effects
compile	dag/gunbc/host_identity_converge.dag	Deny	extdeps.access.aws_iam,std.access
compile	dag/gunbc/host_identity_converge.dag	EffectShape	std.effects,v2.std.effects
compile	dag/gunbc/host_identity_converge.dag	UpsertEffect	std.effects,v2.std.effects
compile	dag/gunbc/host_identity_observation.dag	Terminal	std.disposition,v2.std.grammar
