message	path	line	col	left	right	single	code
binary operation `==` cannot be applied to type `Rc<dyn Fn(Rc<Node>, Rc<EvaluationEnvironment>) -> Rc<Outcome<Rc<RuntimeValue>>>>`	src/v2_compiler_eval.rs	229	40			Rc<dyn Fn(Rc<Node>, Rc<EvaluationEnvironment>) -> Rc<Outcome<Rc<RuntimeValue>>>>	if (v.allocate_literal.clone() == v2_eval_represent_literal) {
binary operation `==` cannot be applied to type `Rc<dyn Fn(Rc<Node>, Rc<Vector<Rc<RuntimeValue>>>, Rc<...>) -> ...>`	src/v2_compiler_eval.rs	238	34			Rc<dyn Fn(Rc<Node>, Rc<Vector<Rc<RuntimeValue>>>, Rc<...>) -> ...>	if (t.call_primitive.clone() == v2_eval_call_primitive) {
binary operation `==` cannot be applied to type `Rc<dyn Fn(Rc<Node>, Rc<RuntimeValue>, Rc<EvaluationEnvironment>) -> Rc<Outcome<Rc<Node>>>>`	src/v2_compiler_eval.rs	246	33			Rc<dyn Fn(Rc<Node>, Rc<RuntimeValue>, Rc<EvaluationEnvironment>) -> Rc<Outcome<Rc<Node>>>>	if (b.choose_branch.clone() == v2_eval_choose_branch) {
binary operation `==` cannot be applied to type `Rc<dyn Fn(Rc<Node>, Rc<EvaluationEnvironment>) -> Rc<Outcome<Rc<ControlTransfer>>>>`	src/v2_compiler_eval.rs	254	29			Rc<dyn Fn(Rc<Node>, Rc<EvaluationEnvironment>) -> Rc<Outcome<Rc<ControlTransfer>>>>	if (l.step_loop.clone() == v2_eval_step_loop) {
binary operation `==` cannot be applied to type `Rc<dyn Fn(Rc<EnvironmentBindingKey>, Rc<RuntimeValue>, ...) -> ...>`	src/v2_compiler_eval.rs	262	30			Rc<dyn Fn(Rc<EnvironmentBindingKey>, Rc<RuntimeValue>, ...) -> ...>	if (b.bind_value.clone() == v2_eval_bind_value) {
binary operation `==` cannot be applied to type `Rc<dyn Fn(Rc<Node>, Rc<EvaluationEnvironment>) -> Rc<Outcome<Rc<RuntimeValue>>>>`	src/v2_compiler_eval.rs	270	36			Rc<dyn Fn(Rc<Node>, Rc<EvaluationEnvironment>) -> Rc<Outcome<Rc<RuntimeValue>>>>	if (v.allocate_literal.clone() == v2_eval_allocate_literal) {
binary operation `==` cannot be applied to type `Rc<dyn Fn(Rc<Node>, Rc<EvaluationEnvironment>) -> Rc<Outcome<Rc<RuntimeValue>>>>`	src/v2_compiler_eval.rs	273	40			Rc<dyn Fn(Rc<Node>, Rc<EvaluationEnvironment>) -> Rc<Outcome<Rc<RuntimeValue>>>>	if (v.allocate_literal.clone() == v2_eval_represent_literal) {
binary operation `==` cannot be applied to type `Rc<dyn Fn(Rc<Node>, Rc<Vector<Rc<RuntimeValue>>>, Rc<...>) -> ...>`	src/v2_compiler_eval.rs	282	34			Rc<dyn Fn(Rc<Node>, Rc<Vector<Rc<RuntimeValue>>>, Rc<...>) -> ...>	if (t.call_primitive.clone() == v2_eval_call_primitive) {
binary operation `==` cannot be applied to type `Rc<dyn Fn(Rc<Node>, Rc<RuntimeValue>, Rc<EvaluationEnvironment>) -> Rc<Outcome<Rc<Node>>>>`	src/v2_compiler_eval.rs	290	33			Rc<dyn Fn(Rc<Node>, Rc<RuntimeValue>, Rc<EvaluationEnvironment>) -> Rc<Outcome<Rc<Node>>>>	if (b.choose_branch.clone() == v2_eval_choose_branch) {
binary operation `==` cannot be applied to type `Rc<dyn Fn(Rc<Node>, Rc<EvaluationEnvironment>) -> Rc<Outcome<Rc<ControlTransfer>>>>`	src/v2_compiler_eval.rs	298	29			Rc<dyn Fn(Rc<Node>, Rc<EvaluationEnvironment>) -> Rc<Outcome<Rc<ControlTransfer>>>>	if (l.step_loop.clone() == v2_eval_step_loop) {
binary operation `==` cannot be applied to type `Rc<dyn Fn(Rc<EnvironmentBindingKey>, Rc<RuntimeValue>, ...) -> ...>`	src/v2_compiler_eval.rs	306	30			Rc<dyn Fn(Rc<EnvironmentBindingKey>, Rc<RuntimeValue>, ...) -> ...>	if (b.bind_value.clone() == v2_eval_bind_value) {
binary operation `==` cannot be applied to type `Rc<InterpretationAlgebra>`	src/v2_compiler_eval.rs	338	36			Rc<InterpretationAlgebra>	if (interpretation.clone() == v2_evaluator_interpretation()) {
binary operation `==` cannot be applied to type `Rc<InterpretationAlgebra>`	src/v2_compiler_eval.rs	625	123	Rc<EvalParamBindAcc>	()	Rc<InterpretationAlgebra>	....to_string()) && (authority.interpretation.clone() == v2_evaluator_interpretation())) && (authority.semantics_digest.clone() == ...
