test.claim.srv3_subsumption.reconcile_would_teardown_only_if_ownership_claimed_it	HOST-PRIMITIVE-CONTRACT	T1-arity	atom_identity_hash	type error: atom_identity_hash requires exactly one string argument
test.claim.srv3_subsumption.comment_only_drift_is_one_change_not_remove_add	HOST-PRIMITIVE-CONTRACT	T1-arity	atom_identity_hash	type error: atom_identity_hash requires exactly one string argument
v2.test.lens_mutation_adequacy.mutation_adequacy_test.adequate_when_every_mutation_has_a_discriminating_witness	REFERENCE-UNAVAILABLE	R2-fn-in-unimported-module	unit_is_discriminating	no such function: unit_is_discriminating
v2.test.lens_mutation_adequacy.mutation_adequacy_test.surviving_mutation_is_inadequate	REFERENCE-UNAVAILABLE	R2-fn-in-unimported-module	unit_is_discriminating	no such function: unit_is_discriminating
v2.test.lens_vacuity.vacuity_test.vacuity_rung5_emit_vs_eval_classifies_proven_independent	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	nat_add_left_identity_input	no such function: nat_add_left_identity_input
v2.test.lens_vacuity.vacuity_test.vacuity_unified_node_corpus_matches_transport_classifier	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	nat_add_left_identity_input	no such function: nat_add_left_identity_input
v2.test.lens_vacuity.vacuity_test.vacuity_falsification_cases_each_match_expected_evidence	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	nat_add_left_identity_input	no such function: nat_add_left_identity_input
v2.test.lens_vacuity.vacuity_test.vacuity_advisory_census_partitions_falsification_suite	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	nat_add_left_identity_input	no such function: nat_add_left_identity_input
v2.test.lens_vacuity.vacuity_test.vacuity_falsification_suite_nonempty	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	nat_add_left_identity_input	no such function: nat_add_left_identity_input
v2.test.claim.compiler_materialization_witness.parse_table_carrier_inhabits_realization	REFERENCE-UNAVAILABLE	R6-variant-or-type-name	LocalInProcess	undefined variable: LocalInProcess
v2.test.claim.compiler_materialization_witness.compile_stage_carrier_inhabits_realization	REFERENCE-UNAVAILABLE	R6-variant-or-type-name	LocalInProcess	undefined variable: LocalInProcess
v2.test.emit.produced_decl_support_preserved.produced_decl_support_survives_augmentation	CALL-CONTRACT-MISMATCH	C1		call contract mismatch calling 'render': missing required argument 'proto' (1 of 2 required argument(s) supplied)
v2.test.extdeps.spice_rc_passive_deck_claims.spice_rc_passive_deck_authority_holds	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	spice_rc_passive_deck	no such function: spice_rc_passive_deck
v2.test.extdeps_shape_transport_policy.corpus.cargo_build_policy_leak.corpus_cargo_build_defused_holds	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	extdeps_cargo_build_module	no such function: extdeps_cargo_build_module
v2.test.extdeps_shape_transport_policy.corpus.cargo_clippy_dead_param.corpus_cargo_clippy_dead_param_defused_holds	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	extdeps_cargo_build_module	no such function: extdeps_cargo_build_module
v2.test.extdeps_shape_transport_policy.corpus.cargo_doc_dead_param.corpus_cargo_doc_dead_param_defused_holds	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	extdeps_cargo_build_module	no such function: extdeps_cargo_build_module
v2.test.extdeps_shape_transport_policy.corpus.cargo_doc_policy_leak.corpus_cargo_doc_defused_holds	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	extdeps_cargo_build_module	no such function: extdeps_cargo_build_module
v2.test.extdeps_shape_transport_policy.corpus.cargo_fmt_dead_param.corpus_cargo_fmt_dead_param_defused_holds	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	extdeps_cargo_build_module	no such function: extdeps_cargo_build_module
v2.test.extdeps_shape_transport_policy.corpus.cargo_fmt_policy_leak.corpus_cargo_fmt_defused_holds	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	extdeps_cargo_build_module	no such function: extdeps_cargo_build_module
v2.test.extdeps_shape_transport_policy.corpus.cargo_run_dead_param.corpus_cargo_run_dead_param_defused_holds	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	extdeps_cargo_build_module	no such function: extdeps_cargo_build_module
v2.test.extdeps_shape_transport_policy.corpus.gcp_login_dead_param.corpus_gcp_login_dead_param_defused_holds	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	extdeps_gcp_module	no such function: extdeps_gcp_module
v2.test.extdeps_shape_transport_policy.corpus.gcp_oauth_fusion_fork.corpus_gcp_oauth_defused_holds	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	extdeps_gcp_module	no such function: extdeps_gcp_module
